,src,output
658,0.20019297,0.0922
659,0.20556241,0.1106
660,0.21475692,0.1229
661,0.1866922,0.1284
662,0.18258232,0.1311
663,0.18165441,0.1321
664,0.17980613,0.1317
665,0.18649034,0.1313
666,0.18161745,0.134
667,0.1976883,0.1515
668,0.23558429,0.184
669,0.23401561,0.1713
670,0.22291183,0.1499
671,0.23638058,0.1294
672,0.1110233,0.10345
673,0.13959764,0.1307
674,0.15800078,0.155
675,0.17730199,0.1824
676,0.18345217,0.2041
677,0.1930987,0.223
678,0.20537259,0.235
679,0.22590318,0.245
680,0.23210736,0.251
681,0.233027,0.252
682,0.22310214,0.2522
683,0.22303565,0.2422
684,0.23633298,0.254
685,0.22548431,0.2444
686,0.18540187,0.2084
687,0.19075146,0.2084
688,0.10637834,0.1249
689,0.09980119,0.1288
690,0.07168751,0.083
691,0.057607424,0.0757
692,0.050179325,0.07635
693,0.066753514,0.09485
694,0.107679226,0.1447
695,0.114889406,0.1685
696,0.14517918,0.1704
697,0.1678918,0.18
698,0.1870493,0.1943
699,0.1918996,0.2184
700,0.20332254,0.2438
701,0.20388946,0.2668
702,0.22211581,0.286
703,0.2355948,0.3042
704,0.2353167,0.3188
705,0.24213096,0.321
706,0.23436858,0.3123
707,0.23792279,0.2922
708,0.24009514,0.2952
709,0.22155233,0.278
710,0.18140186,0.2317
711,0.17519923,0.2317
712,0.10305905,0.1343
713,0.11350354,0.1417
714,0.071353085,0.09064
715,0.06166588,0.07697
716,0.05722515,0.0762
717,0.084758125,0.0958
718,0.12710385,0.1486
719,0.139983,0.1681
720,0.14277594,0.1781
721,0.14205581,0.1791
722,0.15692055,0.2
723,0.18617529,0.2324
724,0.2062419,0.251
725,0.2334317,0.2761
726,0.2650559,0.32
727,0.3094284,0.363
728,0.3444084,0.4087
729,0.37678698,0.4456
730,0.41748026,0.4834
731,0.45145917,0.5146
732,0.47827825,0.534
733,0.49489212,0.5474
734,0.48577318,0.553
735,0.46787602,0.5386
736,0.44467407,0.508
737,0.43052298,0.4814
738,0.42562556,0.4702
739,0.36923623,0.415
740,0.36325938,0.415
741,0.25021392,0.2942
742,0.2508033,0.303
743,0.1825597,0.236
744,0.17482817,0.2252
745,0.16736795,0.2258
746,0.18519288,0.2463
747,0.22334903,0.277
748,0.23797764,0.2954
749,0.26357117,0.3171
750,0.2904593,0.3489
751,0.33404315,0.3896
752,0.37222052,0.43
753,0.40430236,0.469
754,0.42857677,0.5054
755,0.44987443,0.5366
756,0.46894664,0.561
757,0.4965949,0.5723
758,0.49698013,0.5737
759,0.4873109,0.559
760,0.45951712,0.529
761,0.42767936,0.502
762,0.41888314,0.4854
763,0.3589687,0.4255
764,0.36361265,0.4255
765,0.25029984,0.3044
766,0.26958984,0.3142
767,0.19232519,0.2502
768,0.11546206,0.1304
769,0.1154652,0.1284
770,0.13762093,0.1483
771,0.18238899,0.1963
772,0.19644527,0.2103
773,0.20882672,0.2181
774,0.23027286,0.251
775,0.2747319,0.279
776,0.31216365,0.3113
777,0.33939826,0.3474
